ticket_id,account_id,rep_id,opened_date,closed_date,priority,category,subject,description,resolution_notes,csat_score,resolution_hours,escalated,product_line
TKT-0000530,ACC-00041,REP-001,2024-07-28,,P2,Access,Issue with Performance - ref 530,System performance degraded significantly during end-of-month close process.,,,,N,Platform License
TKT-0000531,ACC-00335,REP-012,2024-04-04,2024-04-09,P1,Feature Request,Issue with Training - ref 531,Dashboard loading extremely slow after latest update. Users unable to access reports.,Identified bottleneck in reporting query. Optimized with clustering key.,5,57,N,Data Integration Suite
TKT-0000532,ACC-00056,REP-014,2025-04-16,2025-04-19,P2,Feature Request,Issue with Integration - ref 532,Requesting bulk user provisioning feature for enterprise onboarding.,Identified bottleneck in reporting query. Optimized with clustering key.,5,51,N,Security Package
TKT-0000533,ACC-00477,REP-002,2025-01-18,2025-02-06,P1,Training,Issue with Performance - ref 533,API rate limits causing production failures during peak business hours.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",4,369,Y,Security Package
TKT-0000534,ACC-00150,REP-016,2025-03-07,2025-03-25,P2,Bug,Issue with Integration - ref 534,Requesting bulk user provisioning feature for enterprise onboarding.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",5,67,N,Analytics Module
TKT-0000535,ACC-00314,REP-002,2024-12-22,,P1,Access,Issue with Integration - ref 535,Machine learning model predictions diverging significantly from actuals.,,,,Y,Security Package
TKT-0000536,ACC-00479,REP-010,2025-01-05,2025-01-28,P4,Access,Issue with Training - ref 536,API rate limits causing production failures during peak business hours.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,5,620,N,Analytics Module
TKT-0000537,ACC-00267,REP-016,2024-11-10,2024-11-29,P4,Training,Issue with Feature Request - ref 537,System performance degraded significantly during end-of-month close process.,Updated OAuth token rotation policy. Connection stable for 72+ hours.,3,509,N,Platform License
TKT-0000538,ACC-00321,REP-004,2024-03-01,2024-03-02,P2,Training,Issue with Access - ref 538,Need help configuring row-level security for multi-tenant environment.,RLS policy configured correctly. Documentation updated for future reference.,1,477,N,Data Integration Suite
TKT-0000539,ACC-00109,REP-001,2024-10-13,2024-11-08,P2,Integration,Issue with Performance - ref 539,Requesting bulk user provisioning feature for enterprise onboarding.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,3,653,N,Data Integration Suite
TKT-0000540,ACC-00059,REP-011,2025-01-27,,P3,Billing,Issue with Integration - ref 540,System performance degraded significantly during end-of-month close process.,,,,Y,Analytics Module
TKT-0000541,ACC-00473,REP-016,2024-04-09,2024-04-20,P4,Training,Issue with Bug - ref 541,Invoice amount does not match contracted rate. Please review attachment.,Distribution list updated and tested. All reports sending correctly.,2,347,N,Data Integration Suite
TKT-0000542,ACC-00476,REP-002,2024-08-24,2024-09-19,P3,Access,Issue with Integration - ref 542,API rate limits causing production failures during peak business hours.,Model retrained with updated feature set. Accuracy improved to 94%.,5,424,Y,Analytics Module
TKT-0000543,ACC-00410,REP-012,2024-10-22,2024-11-13,P1,Feature Request,Issue with Performance - ref 543,Dashboard loading extremely slow after latest update. Users unable to access reports.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",4,340,N,Security Package
TKT-0000544,ACC-00443,REP-010,2024-04-05,2024-04-25,P3,Integration,Issue with Bug - ref 544,Requesting bulk user provisioning feature for enterprise onboarding.,RLS policy configured correctly. Documentation updated for future reference.,1,120,N,Analytics Module
TKT-0000545,ACC-00425,REP-010,2024-07-09,,P2,Access,Issue with Performance - ref 545,Invoice amount does not match contracted rate. Please review attachment.,,,,Y,Data Integration Suite
TKT-0000546,ACC-00468,REP-003,2025-02-05,2025-02-07,P4,Access,Issue with Bug - ref 546,Automated reports not sending to correct distribution list after migration.,Model retrained with updated feature set. Accuracy improved to 94%.,2,207,N,Data Integration Suite
TKT-0000547,ACC-00159,REP-011,2025-04-17,2025-05-03,P2,Training,Issue with Training - ref 547,Data pipeline failing silently. No error logs visible in monitoring console.,Model retrained with updated feature set. Accuracy improved to 94%.,2,537,N,Platform License
TKT-0000548,ACC-00060,REP-001,2024-08-23,2024-09-05,P3,Bug,Issue with Integration - ref 548,System performance degraded significantly during end-of-month close process.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,3,535,N,Platform License
TKT-0000549,ACC-00382,REP-010,2024-02-22,2024-03-10,P1,Access,Issue with Training - ref 549,Requesting bulk user provisioning feature for enterprise onboarding.,Updated OAuth token rotation policy. Connection stable for 72+ hours.,3,675,N,Analytics Module
TKT-0000550,ACC-00273,REP-011,2024-05-26,,P4,Integration,Issue with Bug - ref 550,Requesting bulk user provisioning feature for enterprise onboarding.,,,,N,Analytics Module
TKT-0000551,ACC-00491,REP-018,2024-05-20,2024-05-24,P1,Feature Request,Issue with Access - ref 551,API rate limits causing production failures during peak business hours.,Model retrained with updated feature set. Accuracy improved to 94%.,3,16,N,Analytics Module
TKT-0000552,ACC-00294,REP-008,2025-04-27,2025-05-20,P2,Bug,Issue with Performance - ref 552,System performance degraded significantly during end-of-month close process.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",5,291,N,Platform License
TKT-0000553,ACC-00463,REP-002,2024-03-07,2024-03-08,P1,Billing,Issue with Bug - ref 553,Data pipeline failing silently. No error logs visible in monitoring console.,RLS policy configured correctly. Documentation updated for future reference.,4,483,N,Security Package
TKT-0000554,ACC-00171,REP-007,2024-11-11,2024-11-23,P1,Training,Issue with Training - ref 554,Automated reports not sending to correct distribution list after migration.,Identified bottleneck in reporting query. Optimized with clustering key.,2,320,Y,Security Package
TKT-0000555,ACC-00159,REP-015,2024-02-19,,P4,Feature Request,Issue with Feature Request - ref 555,Invoice amount does not match contracted rate. Please review attachment.,,,,N,Data Integration Suite
TKT-0000556,ACC-00470,REP-011,2024-07-19,2024-07-25,P3,Billing,Issue with Billing - ref 556,Dashboard loading extremely slow after latest update. Users unable to access reports.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,4,717,Y,Data Integration Suite
TKT-0000557,ACC-00145,REP-012,2024-09-02,2024-09-17,P2,Access,Issue with Bug - ref 557,Need help configuring row-level security for multi-tenant environment.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,3,175,Y,Data Integration Suite
TKT-0000558,ACC-00303,REP-014,2024-09-29,2024-10-14,P2,Access,Issue with Feature Request - ref 558,Machine learning model predictions diverging significantly from actuals.,Billing team confirmed rate discrepancy. Credit issued to account.,4,411,N,Platform License
TKT-0000559,ACC-00303,REP-014,2024-06-23,2024-06-30,P4,Access,Issue with Training - ref 559,API rate limits causing production failures during peak business hours.,Model retrained with updated feature set. Accuracy improved to 94%.,2,711,N,Platform License
TKT-0000560,ACC-00365,REP-016,2025-01-13,,P1,Access,Issue with Access - ref 560,Automated reports not sending to correct distribution list after migration.,,,,N,Platform License
TKT-0000561,ACC-00158,REP-013,2025-02-24,2025-03-11,P1,Access,Issue with Bug - ref 561,System performance degraded significantly during end-of-month close process.,RLS policy configured correctly. Documentation updated for future reference.,3,181,N,Platform License
TKT-0000562,ACC-00455,REP-001,2024-02-16,2024-02-23,P2,Integration,Issue with Feature Request - ref 562,Automated reports not sending to correct distribution list after migration.,Model retrained with updated feature set. Accuracy improved to 94%.,3,143,N,Security Package
TKT-0000563,ACC-00450,REP-011,2024-04-10,2024-04-17,P3,Access,Issue with Training - ref 563,Requesting bulk user provisioning feature for enterprise onboarding.,RLS policy configured correctly. Documentation updated for future reference.,3,698,Y,Platform License
TKT-0000564,ACC-00434,REP-005,2024-11-09,2024-11-26,P3,Bug,Issue with Performance - ref 564,Machine learning model predictions diverging significantly from actuals.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",1,414,N,Platform License
TKT-0000565,ACC-00444,REP-001,2025-03-16,,P2,Billing,Issue with Integration - ref 565,System performance degraded significantly during end-of-month close process.,,,,N,Data Integration Suite
TKT-0000566,ACC-00196,REP-014,2024-12-30,2025-01-12,P2,Integration,Issue with Feature Request - ref 566,Automated reports not sending to correct distribution list after migration.,Billing team confirmed rate discrepancy. Credit issued to account.,2,416,N,Data Integration Suite
TKT-0000567,ACC-00148,REP-005,2025-03-06,2025-03-20,P2,Bug,Issue with Bug - ref 567,Dashboard loading extremely slow after latest update. Users unable to access reports.,Billing team confirmed rate discrepancy. Credit issued to account.,4,158,N,Analytics Module
TKT-0000568,ACC-00413,REP-014,2024-02-13,2024-02-18,P4,Training,Issue with Integration - ref 568,System performance degraded significantly during end-of-month close process.,RLS policy configured correctly. Documentation updated for future reference.,5,658,N,Security Package
TKT-0000569,ACC-00420,REP-015,2024-09-17,2024-10-01,P4,Performance,Issue with Feature Request - ref 569,Invoice amount does not match contracted rate. Please review attachment.,RLS policy configured correctly. Documentation updated for future reference.,5,566,Y,Security Package
TKT-0000570,ACC-00122,REP-017,2025-03-09,,P3,Billing,Issue with Access - ref 570,System performance degraded significantly during end-of-month close process.,,,,N,Platform License
TKT-0000571,ACC-00248,REP-012,2025-05-15,2025-05-17,P1,Access,Issue with Billing - ref 571,Data pipeline failing silently. No error logs visible in monitoring console.,Billing team confirmed rate discrepancy. Credit issued to account.,5,582,N,Security Package
TKT-0000572,ACC-00456,REP-003,2024-09-21,2024-09-24,P2,Billing,Issue with Integration - ref 572,Data pipeline failing silently. No error logs visible in monitoring console.,Model retrained with updated feature set. Accuracy improved to 94%.,5,536,N,Platform License
TKT-0000573,ACC-00399,REP-001,2025-04-07,2025-04-18,P4,Billing,Issue with Access - ref 573,Automated reports not sending to correct distribution list after migration.,Identified bottleneck in reporting query. Optimized with clustering key.,3,548,N,Data Integration Suite
TKT-0000574,ACC-00149,REP-006,2025-05-06,2025-06-01,P1,Integration,Issue with Access - ref 574,Requesting bulk user provisioning feature for enterprise onboarding.,Identified bottleneck in reporting query. Optimized with clustering key.,3,302,Y,Security Package
TKT-0000575,ACC-00294,REP-002,2024-10-23,,P3,Training,Issue with Integration - ref 575,System performance degraded significantly during end-of-month close process.,,,,Y,Data Integration Suite
TKT-0000576,ACC-00259,REP-003,2024-09-05,2024-09-08,P3,Performance,Issue with Feature Request - ref 576,System performance degraded significantly during end-of-month close process.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,3,130,N,Platform License
TKT-0000577,ACC-00090,REP-005,2025-01-14,2025-01-18,P4,Performance,Issue with Training - ref 577,Invoice amount does not match contracted rate. Please review attachment.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,2,619,N,Analytics Module
TKT-0000578,ACC-00176,REP-003,2025-02-13,2025-03-02,P2,Access,Issue with Training - ref 578,Invoice amount does not match contracted rate. Please review attachment.,Distribution list updated and tested. All reports sending correctly.,4,34,N,Analytics Module
TKT-0000579,ACC-00086,REP-007,2024-12-04,2024-12-19,P3,Bug,Issue with Integration - ref 579,Requesting bulk user provisioning feature for enterprise onboarding.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,1,653,N,Security Package
TKT-0000580,ACC-00155,REP-016,2024-07-23,,P2,Billing,Issue with Integration - ref 580,Need help configuring row-level security for multi-tenant environment.,,,,N,Data Integration Suite
TKT-0000581,ACC-00007,REP-010,2024-03-15,2024-04-01,P4,Billing,Issue with Integration - ref 581,API rate limits causing production failures during peak business hours.,Model retrained with updated feature set. Accuracy improved to 94%.,1,446,Y,Data Integration Suite
TKT-0000582,ACC-00313,REP-009,2025-05-04,2025-06-01,P3,Performance,Issue with Performance - ref 582,Data pipeline failing silently. No error logs visible in monitoring console.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,5,443,N,Security Package
TKT-0000583,ACC-00376,REP-007,2025-01-30,2025-02-21,P3,Integration,Issue with Integration - ref 583,Invoice amount does not match contracted rate. Please review attachment.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",5,248,Y,Platform License
TKT-0000584,ACC-00211,REP-004,2025-03-01,2025-03-04,P1,Integration,Issue with Billing - ref 584,API rate limits causing production failures during peak business hours.,Updated OAuth token rotation policy. Connection stable for 72+ hours.,3,13,N,Analytics Module
TKT-0000585,ACC-00318,REP-003,2024-01-18,,P1,Access,Issue with Integration - ref 585,Cannot connect Snowflake integration. Authentication keeps timing out.,,,,Y,Platform License
TKT-0000586,ACC-00067,REP-013,2024-02-14,2024-03-13,P2,Bug,Issue with Integration - ref 586,Invoice amount does not match contracted rate. Please review attachment.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,3,620,N,Platform License
TKT-0000587,ACC-00394,REP-014,2024-11-23,2024-12-08,P3,Performance,Issue with Feature Request - ref 587,Data pipeline failing silently. No error logs visible in monitoring console.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,1,284,N,Security Package
TKT-0000588,ACC-00490,REP-009,2024-06-19,2024-06-21,P2,Billing,Issue with Bug - ref 588,Automated reports not sending to correct distribution list after migration.,Updated OAuth token rotation policy. Connection stable for 72+ hours.,5,265,N,Analytics Module
TKT-0000589,ACC-00074,REP-018,2024-11-26,2024-12-12,P4,Feature Request,Issue with Access - ref 589,Data pipeline failing silently. No error logs visible in monitoring console.,Distribution list updated and tested. All reports sending correctly.,3,112,Y,Platform License
TKT-0000590,ACC-00293,REP-009,2024-02-07,,P4,Bug,Issue with Billing - ref 590,Invoice amount does not match contracted rate. Please review attachment.,,,,Y,Platform License
TKT-0000591,ACC-00078,REP-011,2024-12-06,2024-12-19,P4,Access,Issue with Bug - ref 591,Machine learning model predictions diverging significantly from actuals.,Distribution list updated and tested. All reports sending correctly.,4,273,N,Security Package
TKT-0000592,ACC-00277,REP-008,2025-03-08,2025-04-01,P1,Billing,Issue with Integration - ref 592,Automated reports not sending to correct distribution list after migration.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,5,72,N,Data Integration Suite
TKT-0000593,ACC-00029,REP-003,2024-12-15,2024-12-25,P3,Access,Issue with Training - ref 593,API rate limits causing production failures during peak business hours.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,4,411,N,Analytics Module
TKT-0000594,ACC-00496,REP-013,2024-03-31,2024-04-18,P2,Performance,Issue with Integration - ref 594,Need help configuring row-level security for multi-tenant environment.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,3,41,N,Platform License
TKT-0000595,ACC-00225,REP-007,2025-03-29,,P2,Bug,Issue with Feature Request - ref 595,Dashboard loading extremely slow after latest update. Users unable to access reports.,,,,N,Security Package
TKT-0000596,ACC-00330,REP-010,2024-07-18,2024-07-21,P4,Access,Issue with Training - ref 596,Automated reports not sending to correct distribution list after migration.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",1,554,N,Platform License
TKT-0000597,ACC-00208,REP-004,2024-06-21,2024-07-17,P2,Training,Issue with Integration - ref 597,Machine learning model predictions diverging significantly from actuals.,Distribution list updated and tested. All reports sending correctly.,5,44,N,Analytics Module
TKT-0000598,ACC-00377,REP-005,2025-04-18,2025-04-21,P4,Integration,Issue with Bug - ref 598,Automated reports not sending to correct distribution list after migration.,Identified bottleneck in reporting query. Optimized with clustering key.,1,38,N,Analytics Module
TKT-0000599,ACC-00026,REP-010,2024-01-08,2024-01-14,P1,Billing,Issue with Access - ref 599,Invoice amount does not match contracted rate. Please review attachment.,Identified bottleneck in reporting query. Optimized with clustering key.,1,648,Y,Platform License
TKT-0000600,ACC-00410,REP-008,2024-09-11,,P1,Training,Issue with Feature Request - ref 600,Need help configuring row-level security for multi-tenant environment.,,,,N,Security Package
TKT-0000601,ACC-00295,REP-018,2024-06-15,2024-06-19,P2,Performance,Issue with Training - ref 601,Cannot connect Snowflake integration. Authentication keeps timing out.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",5,701,N,Data Integration Suite
TKT-0000602,ACC-00073,REP-014,2024-02-02,2024-02-06,P2,Integration,Issue with Performance - ref 602,Machine learning model predictions diverging significantly from actuals.,Billing team confirmed rate discrepancy. Credit issued to account.,4,281,N,Platform License
TKT-0000603,ACC-00314,REP-013,2024-03-09,2024-03-13,P2,Bug,Issue with Billing - ref 603,Data pipeline failing silently. No error logs visible in monitoring console.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",1,648,N,Platform License
TKT-0000604,ACC-00455,REP-010,2024-12-27,2025-01-17,P4,Integration,Issue with Training - ref 604,Automated reports not sending to correct distribution list after migration.,Billing team confirmed rate discrepancy. Credit issued to account.,2,608,N,Data Integration Suite
TKT-0000605,ACC-00211,REP-008,2024-09-24,,P2,Access,Issue with Integration - ref 605,Dashboard loading extremely slow after latest update. Users unable to access reports.,,,,N,Security Package
TKT-0000606,ACC-00424,REP-010,2024-11-09,2024-11-12,P3,Billing,Issue with Bug - ref 606,Machine learning model predictions diverging significantly from actuals.,Updated OAuth token rotation policy. Connection stable for 72+ hours.,2,643,Y,Platform License
TKT-0000607,ACC-00260,REP-008,2024-11-12,2024-11-24,P4,Training,Issue with Integration - ref 607,Cannot connect Snowflake integration. Authentication keeps timing out.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,1,553,N,Platform License
TKT-0000608,ACC-00433,REP-016,2025-02-11,2025-02-16,P4,Feature Request,Issue with Feature Request - ref 608,Dashboard loading extremely slow after latest update. Users unable to access reports.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",3,702,N,Analytics Module
TKT-0000609,ACC-00316,REP-015,2024-08-10,2024-08-19,P1,Bug,Issue with Integration - ref 609,Dashboard loading extremely slow after latest update. Users unable to access reports.,Model retrained with updated feature set. Accuracy improved to 94%.,2,343,N,Platform License
TKT-0000610,ACC-00060,REP-003,2024-09-05,,P2,Integration,Issue with Billing - ref 610,System performance degraded significantly during end-of-month close process.,,,,N,Security Package
TKT-0000611,ACC-00460,REP-011,2024-04-11,2024-05-05,P2,Training,Issue with Bug - ref 611,API rate limits causing production failures during peak business hours.,Updated OAuth token rotation policy. Connection stable for 72+ hours.,1,694,N,Security Package
TKT-0000612,ACC-00457,REP-008,2025-03-21,2025-03-28,P1,Billing,Issue with Access - ref 612,Automated reports not sending to correct distribution list after migration.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",4,385,N,Analytics Module
TKT-0000613,ACC-00092,REP-013,2025-04-20,2025-05-10,P3,Feature Request,Issue with Billing - ref 613,Cannot connect Snowflake integration. Authentication keeps timing out.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",3,466,N,Data Integration Suite
TKT-0000614,ACC-00292,REP-002,2024-03-06,2024-03-08,P3,Feature Request,Issue with Bug - ref 614,Automated reports not sending to correct distribution list after migration.,Distribution list updated and tested. All reports sending correctly.,4,709,N,Data Integration Suite
TKT-0000615,ACC-00152,REP-006,2024-04-22,,P2,Access,Issue with Access - ref 615,Cannot connect Snowflake integration. Authentication keeps timing out.,,,,Y,Security Package
TKT-0000616,ACC-00442,REP-007,2025-03-14,2025-03-31,P4,Training,Issue with Billing - ref 616,Requesting bulk user provisioning feature for enterprise onboarding.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",4,501,N,Analytics Module
TKT-0000617,ACC-00114,REP-005,2024-06-16,2024-06-30,P1,Billing,Issue with Bug - ref 617,Dashboard loading extremely slow after latest update. Users unable to access reports.,Distribution list updated and tested. All reports sending correctly.,5,594,Y,Security Package
TKT-0000618,ACC-00415,REP-004,2024-09-28,2024-10-11,P4,Billing,Issue with Feature Request - ref 618,Data pipeline failing silently. No error logs visible in monitoring console.,Model retrained with updated feature set. Accuracy improved to 94%.,1,491,N,Analytics Module
TKT-0000619,ACC-00123,REP-003,2024-03-08,2024-03-20,P1,Billing,Issue with Integration - ref 619,Requesting bulk user provisioning feature for enterprise onboarding.,Billing team confirmed rate discrepancy. Credit issued to account.,4,303,Y,Security Package
TKT-0000620,ACC-00071,REP-013,2024-08-25,,P2,Training,Issue with Training - ref 620,API rate limits causing production failures during peak business hours.,,,,N,Platform License
TKT-0000621,ACC-00198,REP-011,2025-03-16,2025-04-06,P1,Performance,Issue with Billing - ref 621,Requesting bulk user provisioning feature for enterprise onboarding.,Identified bottleneck in reporting query. Optimized with clustering key.,5,73,N,Platform License
TKT-0000622,ACC-00377,REP-002,2024-11-13,2024-12-12,P3,Bug,Issue with Bug - ref 622,Need help configuring row-level security for multi-tenant environment.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",4,344,Y,Data Integration Suite
TKT-0000623,ACC-00287,REP-003,2024-07-06,2024-07-12,P2,Feature Request,Issue with Performance - ref 623,Cannot connect Snowflake integration. Authentication keeps timing out.,Model retrained with updated feature set. Accuracy improved to 94%.,1,664,N,Analytics Module
TKT-0000624,ACC-00165,REP-012,2025-01-20,2025-02-13,P3,Access,Issue with Integration - ref 624,Need help configuring row-level security for multi-tenant environment.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,1,231,Y,Data Integration Suite
TKT-0000625,ACC-00249,REP-017,2024-06-25,,P1,Billing,Issue with Integration - ref 625,Machine learning model predictions diverging significantly from actuals.,,,,N,Security Package
TKT-0000626,ACC-00485,REP-003,2024-11-13,2024-11-25,P2,Billing,Issue with Bug - ref 626,Data pipeline failing silently. No error logs visible in monitoring console.,RLS policy configured correctly. Documentation updated for future reference.,2,690,N,Platform License
TKT-0000627,ACC-00058,REP-005,2024-02-25,2024-03-02,P4,Feature Request,Issue with Training - ref 627,Cannot connect Snowflake integration. Authentication keeps timing out.,Model retrained with updated feature set. Accuracy improved to 94%.,1,283,N,Security Package
TKT-0000628,ACC-00478,REP-005,2025-05-11,2025-06-02,P4,Performance,Issue with Billing - ref 628,Automated reports not sending to correct distribution list after migration.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",3,555,N,Platform License
TKT-0000629,ACC-00428,REP-017,2024-01-12,2024-02-09,P3,Billing,Issue with Access - ref 629,API rate limits causing production failures during peak business hours.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",4,238,N,Security Package
TKT-0000630,ACC-00068,REP-010,2024-06-04,,P2,Training,Issue with Performance - ref 630,Cannot connect Snowflake integration. Authentication keeps timing out.,,,,N,Data Integration Suite
TKT-0000631,ACC-00076,REP-012,2025-05-12,2025-05-22,P3,Billing,Issue with Feature Request - ref 631,System performance degraded significantly during end-of-month close process.,Billing team confirmed rate discrepancy. Credit issued to account.,5,49,N,Analytics Module
TKT-0000632,ACC-00464,REP-005,2025-05-13,2025-05-19,P2,Feature Request,Issue with Bug - ref 632,Dashboard loading extremely slow after latest update. Users unable to access reports.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",5,710,N,Security Package
TKT-0000633,ACC-00106,REP-018,2024-05-13,2024-05-25,P1,Integration,Issue with Performance - ref 633,API rate limits causing production failures during peak business hours.,Billing team confirmed rate discrepancy. Credit issued to account.,3,189,N,Analytics Module
TKT-0000634,ACC-00472,REP-001,2024-09-30,2024-10-10,P4,Billing,Issue with Training - ref 634,Invoice amount does not match contracted rate. Please review attachment.,Distribution list updated and tested. All reports sending correctly.,3,125,N,Platform License
TKT-0000635,ACC-00280,REP-017,2025-05-11,,P3,Integration,Issue with Integration - ref 635,Requesting bulk user provisioning feature for enterprise onboarding.,,,,N,Data Integration Suite
TKT-0000636,ACC-00342,REP-005,2025-05-11,2025-06-05,P4,Performance,Issue with Integration - ref 636,Data pipeline failing silently. No error logs visible in monitoring console.,Distribution list updated and tested. All reports sending correctly.,1,588,N,Platform License
TKT-0000637,ACC-00317,REP-008,2024-06-06,2024-06-07,P4,Performance,Issue with Bug - ref 637,API rate limits causing production failures during peak business hours.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",5,412,N,Analytics Module
TKT-0000638,ACC-00101,REP-001,2025-02-04,2025-03-06,P1,Access,Issue with Training - ref 638,Automated reports not sending to correct distribution list after migration.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,5,285,N,Analytics Module
TKT-0000639,ACC-00310,REP-017,2024-09-08,2024-09-19,P1,Integration,Issue with Performance - ref 639,Need help configuring row-level security for multi-tenant environment.,Billing team confirmed rate discrepancy. Credit issued to account.,4,618,N,Security Package
TKT-0000640,ACC-00146,REP-012,2024-07-09,,P3,Performance,Issue with Billing - ref 640,Machine learning model predictions diverging significantly from actuals.,,,,Y,Analytics Module
TKT-0000641,ACC-00380,REP-014,2025-01-07,2025-02-05,P4,Performance,Issue with Feature Request - ref 641,Need help configuring row-level security for multi-tenant environment.,RLS policy configured correctly. Documentation updated for future reference.,2,455,Y,Analytics Module
TKT-0000642,ACC-00445,REP-017,2024-04-16,2024-04-26,P3,Bug,Issue with Access - ref 642,Need help configuring row-level security for multi-tenant environment.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,1,487,N,Data Integration Suite
TKT-0000643,ACC-00237,REP-005,2024-07-31,2024-08-06,P2,Feature Request,Issue with Training - ref 643,Need help configuring row-level security for multi-tenant environment.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,5,570,N,Platform License
TKT-0000644,ACC-00428,REP-010,2025-02-25,2025-03-24,P4,Access,Issue with Integration - ref 644,Automated reports not sending to correct distribution list after migration.,Updated OAuth token rotation policy. Connection stable for 72+ hours.,1,310,Y,Analytics Module
TKT-0000645,ACC-00490,REP-016,2024-05-14,,P1,Integration,Issue with Integration - ref 645,Requesting bulk user provisioning feature for enterprise onboarding.,,,,N,Analytics Module
TKT-0000646,ACC-00331,REP-008,2024-09-08,2024-10-08,P1,Bug,Issue with Training - ref 646,Requesting bulk user provisioning feature for enterprise onboarding.,Distribution list updated and tested. All reports sending correctly.,1,705,N,Security Package
TKT-0000647,ACC-00322,REP-016,2024-10-16,2024-10-30,P1,Performance,Issue with Access - ref 647,System performance degraded significantly during end-of-month close process.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",3,265,N,Platform License
TKT-0000648,ACC-00450,REP-005,2024-03-15,2024-03-26,P3,Feature Request,Issue with Bug - ref 648,Requesting bulk user provisioning feature for enterprise onboarding.,"Rate limit increased to 10,000 RPM. Architecture review recommended.",4,473,N,Platform License
TKT-0000649,ACC-00328,REP-003,2024-05-28,2024-06-07,P2,Training,Issue with Integration - ref 649,Invoice amount does not match contracted rate. Please review attachment.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,5,543,N,Data Integration Suite
TKT-0000650,ACC-00424,REP-010,2025-03-22,,P3,Integration,Issue with Integration - ref 650,API rate limits causing production failures during peak business hours.,,,,Y,Data Integration Suite
TKT-0000651,ACC-00071,REP-017,2025-02-25,2025-03-02,P3,Performance,Issue with Training - ref 651,Automated reports not sending to correct distribution list after migration.,RLS policy configured correctly. Documentation updated for future reference.,3,14,N,Platform License
TKT-0000652,ACC-00114,REP-007,2024-04-21,2024-04-26,P1,Billing,Issue with Billing - ref 652,Data pipeline failing silently. No error logs visible in monitoring console.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,2,516,Y,Security Package
TKT-0000653,ACC-00186,REP-005,2024-06-27,2024-07-07,P4,Access,Issue with Access - ref 653,API rate limits causing production failures during peak business hours.,Billing team confirmed rate discrepancy. Credit issued to account.,3,708,Y,Platform License
TKT-0000654,ACC-00073,REP-008,2024-04-23,2024-04-28,P3,Feature Request,Issue with Feature Request - ref 654,Invoice amount does not match contracted rate. Please review attachment.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,4,711,Y,Platform License
TKT-0000655,ACC-00248,REP-014,2024-01-10,,P1,Feature Request,Issue with Bug - ref 655,Dashboard loading extremely slow after latest update. Users unable to access reports.,,,,Y,Security Package
TKT-0000656,ACC-00023,REP-003,2024-03-01,2024-03-31,P3,Integration,Issue with Bug - ref 656,Data pipeline failing silently. No error logs visible in monitoring console.,Fixed configuration error in pipeline metadata. Added alerting to prevent recurrence.,5,260,N,Analytics Module
TKT-0000657,ACC-00015,REP-003,2024-04-04,2024-04-26,P2,Training,Issue with Integration - ref 657,Requesting bulk user provisioning feature for enterprise onboarding.,Identified bottleneck in reporting query. Optimized with clustering key.,3,360,N,Analytics Module
